Ticker;Setor;Tendencia;Preco;Activator;Dist Activator;Dias Tendencia;Var Tendencia;RSI;RSI Zona;SMA Status;Vol Relativo;Vol Class;Trades;Win Rate;Payout Medio;Payout Wins;Payout Losses;Profit Factor;Max Drawdown;Retorno Acum;Maior Win;Maior Loss;Max Wins Consec;Max Losses Consec;Dias Medio Trade;Expectativa;Suporte 20d;Resistencia 20d;Volatilidade 20d;Ultimo Sinal;Data Ultimo Sinal;Grafico
MRVE3;Construção Civil;BAIXA;R$ 7,79;R$ 8,04;-3,10%;4;+8,34%;45.79;NEUTRO;ALTA (SMA9 > SMA21);0.62;ABAIXO da média;58;+41,38%;+1,48%;+12,19%;-6,08%;1.42;-62,51%;+62,78%;+56,94%;-13,58%;5;7;12.7;+1,48%;7.1;8.45;3.41;VENDA;2026-04-07;graficos/hilo_mrve3.png
PETR4;Petróleo e Gás;BAIXA;R$ 48,63;R$ 49,04;-0,84%;3;+4,33%;62.62;FORTE;ALTA (SMA9 > SMA21);0.52;ABAIXO da média;59;+44,07%;+1,19%;+5,81%;-2,44%;1.87;-18,48%;+82,81%;+23,27%;-7,85%;5;8;12.5;+1,19%;44.29;50.69;2.75;VENDA;2026-04-08;graficos/hilo_petr4.png
PRIO3;Petróleo e Gás;BAIXA;R$ 67,24;R$ 69,07;-2,65%;7;+4,85%;57.26;NEUTRO;ALTA (SMA9 > SMA21);0.46;ABAIXO da média;60;+35,00%;+0,34%;+6,76%;-3,12%;1.17;-43,19%;+7,06%;+29,89%;-7,07%;2;12;12.1;+0,34%;57.23;72.98;4.89;VENDA;2026-04-01;graficos/hilo_prio3.png
RDOR3;Saúde;ALTA;R$ 41,40;R$ 38,71;+6,94%;14;+6,43%;63.67;FORTE;ALTA (SMA9 > SMA21);1.05;NORMAL;51;+41,18%;+2,07%;+10,51%;-3,84%;1.91;-43,19%;+134,11%;+35,83%;-12,05%;4;10;14.4;+2,07%;36.16;42.3;3.64;COMPRA;2026-03-23;graficos/hilo_rdor3.png
RENT3;;ALTA;R$ 48,95;R$ 46,29;+5,74%;14;+4,06%;56.15;NEUTRO;ALTA (SMA9 > SMA21);1.4;ACIMA da média;44;+43,18%;+1,86%;+11,15%;-5,19%;1.63;-47,20%;+82,02%;+37,49%;-11,27%;9;8;16.2;+1,86%;42.26;51.27;4.08;COMPRA;2026-03-23;graficos/hilo_rent3.png
SANB11;Financeiro;ALTA;R$ 32,07;R$ 30,34;+5,71%;8;+4,67%;55.66;NEUTRO;ALTA (SMA9 > SMA21);0.54;ABAIXO da média;65;+38,46%;+0,03%;+5,07%;-3,11%;1.02;-27,74%;-4,94%;+14,78%;-6,40%;3;8;11.3;+0,03%;28.98;32.56;2.68;COMPRA;2026-03-31;graficos/hilo_sanb11.png
SAPR11;Saneamento;ALTA;R$ 45,46;R$ 43,85;+3,67%;16;+8,01%;58.2;NEUTRO;ALTA (SMA9 > SMA21);0.39;MUITO ABAIXO da média;52;+44,23%;+0,86%;+6,63%;-3,71%;1.42;-23,88%;+40,52%;+21,10%;-7,61%;5;5;13.7;+0,86%;39.47;46.99;4.24;COMPRA;2026-03-19;graficos/hilo_sapr11.png
SUZB3;Papel e Celulose;BAIXA;R$ 47,18;R$ 50,58;-6,73%;5;-4,88%;31.76;FRACO;BAIXA (SMA9 < SMA21);0.57;ABAIXO da média;60;+38,33%;+0,60%;+5,86%;-2,68%;1.36;-41,40%;+31,67%;+20,62%;-8,09%;5;10;12.2;+0,60%;46.36;54.1;3.97;VENDA;2026-04-06;graficos/hilo_suzb3.png
USIM5;Mineração e Siderurgia;ALTA;R$ 7,25;R$ 6,74;+7,55%;13;+7,89%;60.72;FORTE;ALTA (SMA9 > SMA21);1.64;ACIMA da média;61;+32,79%;+0,34%;+10,03%;-4,38%;1.12;-50,08%;-2,85%;+43,50%;-13,91%;5;7;12.0;+0,34%;6.08;7.78;4.81;COMPRA;2026-03-24;graficos/hilo_usim5.png
VALE3;Mineração e Siderurgia;ALTA;R$ 85,59;R$ 81,44;+5,10%;12;+7,59%;62.84;FORTE;ALTA (SMA9 > SMA21);0.99;NORMAL;65;+43,08%;+0,46%;+4,75%;-2,78%;1.29;-27,73%;+25,38%;+18,45%;-7,21%;5;5;11.1;+0,46%;74.06;86.72;3.81;COMPRA;2026-03-25;graficos/hilo_vale3.png
WEGE3;;ALTA;R$ 52,91;R$ 49,56;+6,76%;14;+11,98%;69.15;FORTE;ALTA (SMA9 > SMA21);0.65;ABAIXO da média;58;+37,93%;+0,07%;+6,33%;-3,76%;1.03;-47,55%;-6,78%;+20,70%;-10,25%;5;9;12.6;+0,07%;44.95;53.34;4.91;COMPRA;2026-03-23;graficos/hilo_wege3.png
